drifter_id,time,latitude,longitude,uo,vo
300234062854730.0,2023-01-01 06:00:00,30.521,-28.367,-0.010986663,-0.1495407
300234062854730.0,2023-01-01 12:00:00,30.494,-28.398,-0.03173925,-0.13428144
300234062854730.0,2023-01-01 18:00:00,30.449,-28.434,-0.05859554,-0.056764428
300234062854730.0,2023-01-02 00:00:00,30.442,-28.487,-0.08545183,-0.023194067
300234062854730.0,2023-01-02 06:00:00,30.401,-28.533,-0.08545183,-0.023194067
300234062854730.0,2023-01-02 12:00:00,30.389,-28.602,-0.11413923,0.009765923
300234062854730.0,2023-01-02 18:00:00,30.382,-28.669,-0.14282662,0.07324442
300234062854730.0,2023-01-03 00:00:00,30.393,-28.743,-0.1617481,0.08484146
300234062854730.0,2023-01-03 06:00:00,30.386,-28.822,-0.17334513,0.08789331
300234062854730.0,2023-01-03 12:00:00,30.392,-28.894,-0.17639698,0.08545183
300234062854730.0,2023-01-03 18:00:00,30.391,-28.955,-0.14770958,0.07751702
300234062854730.0,2023-01-04 00:00:00,30.409,-29.032,-0.14099552,0.07202368
300234062854730.0,2023-01-04 06:00:00,30.433,-29.099,-0.12329478,0.053712577
300234062854730.0,2023-01-04 12:00:00,30.458,-29.168,-0.10071108,0.025635548
300234062854730.0,2023-01-04 18:00:00,30.48,-29.198,-0.08728294,0.026245918
300234062854730.0,2023-01-05 00:00:00,30.482,-29.249,-0.0756859,-0.0073244423
300234062854730.0,2023-01-05 06:00:00,30.486,-29.289,-0.0756859,-0.0073244423
300234062854730.0,2023-01-05 12:00:00,30.489,-29.339,-0.06836146,-0.045777764
300234062854730.0,2023-01-05 18:00:00,30.498,-29.397,-0.07324442,-0.10132145
300234062854730.0,2023-01-06 00:00:00,30.509,-29.449,-0.07324442,-0.10132145
300234062854730.0,2023-01-06 06:00:00,30.509,-29.491,-0.07629627,-0.13550219
300234062854730.0,2023-01-06 12:00:00,30.495,-29.52,-0.07629627,-0.13550219
300234062854730.0,2023-01-06 18:00:00,30.465,-29.551,-0.06591998,-0.14038515
300234062854730.0,2023-01-07 00:00:00,30.418,-29.582,-0.08239998,-0.12573627
300234062854730.0,2023-01-07 06:00:00,30.399,-29.622,-0.08239998,-0.12573627
300234062854730.0,2023-01-07 12:00:00,30.385,-29.617,-0.08239998,-0.12573627
300234062854730.0,2023-01-07 18:00:00,30.369,-29.639,-0.11535996,-0.08972442
300234062854730.0,2023-01-08 00:00:00,30.391,-29.65,-0.111087374,-0.10742515
300234062854730.0,2023-01-08 06:00:00,30.393,-29.684,-0.111087374,-0.10742515
300234062854730.0,2023-01-08 12:00:00,30.384,-29.708,-0.111087374,-0.10742515
300234062854730.0,2023-01-08 18:00:00,30.39,-29.752,-0.11658071,-0.056764428
300234062854730.0,2023-01-09 00:00:00,30.397,-29.794,-0.12573627,-0.038453322
300234062854730.0,2023-01-09 06:00:00,30.41,-29.85,-0.12573627,-0.038453322
300234062854730.0,2023-01-09 12:00:00,30.426,-29.888,-0.13733329,-0.010986663
300234062854730.0,2023-01-09 18:00:00,30.432,-29.901,-0.14709921,-0.039674062
300234062854730.0,2023-01-10 00:00:00,30.436,-29.935,-0.14709921,-0.039674062
300234063266890.0,2023-01-01 00:00:00,47.49,-9.835,0.12207404,0.02990814
300234063266890.0,2023-01-01 06:00:00,47.549,-9.772,0.1208533,0.03173925
